ko,item_class,class_usage_share,model_delta
아머까오,울퉁불퉁멧,58.7,0.1269
아머까오,풍선,0.0,0
킬라플로르,생명의구슬,0.4,0.0214
킬라플로르,구애스카프,14.8,0.1053
킬라플로르,기합의띠,78.1,0.106
킬라플로르,자뭉열매,2.3,0.124
킬라플로르,먹다남은음식,3.0,0.066
킬라플로르,달인의띠,0.1,0.0575
킬라플로르,타입강화,0.0,0.0148
킬라플로르,울퉁불퉁멧,0.0,0.0595
킬라플로르,풍선,0.0,0.1128
대쓰여너,생명의구슬,10.8,0.027
대쓰여너,구애스카프,67.7,0.1732
대쓰여너,기합의띠,6.2,0.0112
대쓰여너,자뭉열매,0.6,0.1667
대쓰여너,먹다남은음식,0.0,0.0895
대쓰여너,달인의띠,0.0,0.0247
대쓰여너,타입강화,13.9,0.006
대쓰여너,울퉁불퉁멧,0.0,0.0452
대쓰여너,풍선,0.0,0.015
리자몽,생명의구슬,20.0,0.0466
리자몽,구애스카프,40.0,0.0967
리자몽,기합의띠,20.0,0.0321
리자몽,자뭉열매,20.0,0.1364
리자몽,먹다남은음식,0.0,0.0871
리자몽,달인의띠,0.0,0.0529
리자몽,타입강화,0.0,0.0358
리자몽,울퉁불퉁멧,0.0,0.0705
리자몽,풍선,0.0,0
포푸니크,생명의구슬,0.7,0.0167
포푸니크,구애스카프,1.0,0.1005
포푸니크,기합의띠,5.0,0.0857
포푸니크,자뭉열매,1.5,0.1344
포푸니크,먹다남은음식,0.0,0.0532
포푸니크,달인의띠,0.0,0.046
포푸니크,타입강화,0.0,0.0458
포푸니크,울퉁불퉁멧,0.0,0.0755
포푸니크,풍선,1.3,0.0928
개굴닌자,생명의구슬,10.9,0.0358
개굴닌자,구애스카프,20.4,0.0936
개굴닌자,기합의띠,65.3,0.0751
개굴닌자,자뭉열매,0.0,0.1202
개굴닌자,먹다남은음식,0.0,0.0651
개굴닌자,달인의띠,2.0,0.0609
개굴닌자,타입강화,0.2,0.01
개굴닌자,울퉁불퉁멧,0.0,0.0654
개굴닌자,풍선,0.0,0.0171
에이스번,생명의구슬,23.5,-0.0104
에이스번,구애스카프,34.1,0.1064
에이스번,기합의띠,32.2,0.0424
에이스번,자뭉열매,0.0,0.1464
에이스번,먹다남은음식,0.0,0.1016
에이스번,달인의띠,2.3,0.0392
에이스번,타입강화,0.2,0.0239
에이스번,울퉁불퉁멧,0.0,0.0587
에이스번,풍선,1.1,0.0795
알로라 나인테일,생명의구슬,0.4,0.0682
알로라 나인테일,구애스카프,1.4,0.1167
알로라 나인테일,기합의띠,1.9,0.0896
알로라 나인테일,자뭉열매,0.3,0.113
알로라 나인테일,먹다남은음식,0.0,0.0621
알로라 나인테일,달인의띠,0.0,0.0313
알로라 나인테일,타입강화,1.5,0.0564
알로라 나인테일,울퉁불퉁멧,0.4,0.1001
알로라 나인테일,풍선,0.0,0.0309
에써르(수컷),생명의구슬,6.0,0.0751
에써르(수컷),구애스카프,44.7,0.096
에써르(수컷),기합의띠,17.3,0.0287
에써르(수컷),자뭉열매,0.2,0.1044
에써르(수컷),먹다남은음식,0.0,0.0378
에써르(수컷),달인의띠,0.2,0.0612
에써르(수컷),타입강화,0.5,0.0191
에써르(수컷),울퉁불퉁멧,0.2,0.1156
에써르(수컷),풍선,0.0,0.0119
워시로토무,생명의구슬,0.7,0.0647
워시로토무,구애스카프,14.7,0.1033
워시로토무,기합의띠,0.0,0.0043
워시로토무,자뭉열매,33.6,0.1768
워시로토무,먹다남은음식,34.4,0.1079
워시로토무,달인의띠,0.0,0.0212
워시로토무,타입강화,0.4,0.0514
워시로토무,울퉁불퉁멧,9.1,0.0775
워시로토무,풍선,0.0,0
불카모스,생명의구슬,2.2,0.0672
불카모스,구애스카프,2.1,0.087
불카모스,기합의띠,5.8,0.0201
불카모스,자뭉열매,48.8,0.1715
불카모스,먹다남은음식,17.2,0.1209
불카모스,달인의띠,0.0,0.0365
불카모스,타입강화,0.0,0.0227
불카모스,울퉁불퉁멧,5.0,0.1021
불카모스,풍선,0.4,0.0008
빠르모트,생명의구슬,2.4,0.0385
빠르모트,구애스카프,1.4,0.1297
빠르모트,기합의띠,91.3,0.0897
빠르모트,자뭉열매,0.4,0.1494
빠르모트,먹다남은음식,0.0,0.0711
빠르모트,달인의띠,0.3,0.0243
빠르모트,타입강화,0.0,0.0343
빠르모트,울퉁불퉁멧,0.0,0.0371
빠르모트,풍선,2.1,0.0919
라우드본,생명의구슬,0.4,0.0752
라우드본,구애스카프,0.0,0.195
라우드본,기합의띠,0.0,0.0006
라우드본,자뭉열매,43.5,0.2112
라우드본,먹다남은음식,41.4,0.0902
라우드본,달인의띠,0.0,0.0726
라우드본,타입강화,1.1,0.0533
라우드본,울퉁불퉁멧,0.0,0.1301
라우드본,풍선,0.0,0.0737
삼삼드래,생명의구슬,2.7,0.0078
삼삼드래,구애스카프,88.0,0.0881
삼삼드래,기합의띠,4.1,0.1055
삼삼드래,자뭉열매,0.7,0.129
삼삼드래,먹다남은음식,1.0,0.0732
삼삼드래,달인의띠,0.6,0.0285
삼삼드래,타입강화,0.4,0.004
삼삼드래,울퉁불퉁멧,0.0,0.0404
삼삼드래,풍선,0.0,0
메타그로스,생명의구슬,22.9,0.0475
메타그로스,구애스카프,5.7,0.1976
메타그로스,기합의띠,0.0,0.0211
메타그로스,자뭉열매,8.6,0.1593
메타그로스,먹다남은음식,0.0,0.1213
메타그로스,달인의띠,5.7,0.0702
메타그로스,타입강화,0.0,0.0075
메타그로스,울퉁불퉁멧,0.0,0.0527
메타그로스,풍선,20.0,0.0839
망나뇽,생명의구슬,19.8,0.0807
망나뇽,구애스카프,3.3,0.1708
망나뇽,기합의띠,0.0,0.0526
망나뇽,자뭉열매,4.7,0.1453
망나뇽,먹다남은음식,10.4,0.0951
망나뇽,달인의띠,20.3,0.0777
망나뇽,타입강화,0.0,0.0547
망나뇽,울퉁불퉁멧,0.0,0.0922
망나뇽,풍선,0.0,0
님피아,생명의구슬,5.7,0.0296
님피아,구애스카프,0.0,0.2236
님피아,기합의띠,0.3,0.0035
님피아,자뭉열매,6.0,0.2125
님피아,먹다남은음식,71.3,0.1615
님피아,달인의띠,1.0,0.0442
님피아,타입강화,12.2,0.0701
님피아,울퉁불퉁멧,1.4,0.0864
님피아,풍선,0.0,0.0382
히트로토무,생명의구슬,1.0,0.024
히트로토무,구애스카프,40.1,0.0971
히트로토무,기합의띠,0.0,0.0121
히트로토무,자뭉열매,21.6,0.1795
히트로토무,먹다남은음식,27.9,0.1321
히트로토무,달인의띠,0.0,0.0156
히트로토무,타입강화,0.0,0.0375
히트로토무,울퉁불퉁멧,0.0,0.0696
히트로토무,풍선,0.0,0
거북왕,생명의구슬,2.8,-0.0222
거북왕,구애스카프,2.8,0.1846
거북왕,기합의띠,5.6,0.0025
거북왕,자뭉열매,11.1,0.1893
거북왕,먹다남은음식,5.6,0.1455
거북왕,달인의띠,0.0,0.0161
거북왕,타입강화,2.8,0.0265
거북왕,울퉁불퉁멧,0.0,0.038
거북왕,풍선,0.0,0.0135
대도각참,생명의구슬,8.9,0.0351
대도각참,구애스카프,0.0,0.2364
대도각참,기합의띠,25.6,0.082
대도각참,자뭉열매,3.1,0.1789
대도각참,먹다남은음식,1.4,0.0713
대도각참,달인의띠,0.4,0.0364
대도각참,타입강화,46.8,0.0287
대도각참,울퉁불퉁멧,0.0,0.0616
대도각참,풍선,0.0,0.0743
팬텀,생명의구슬,0.0,0.014
팬텀,구애스카프,4.7,0.1121
팬텀,기합의띠,91.0,0.0804
팬텀,자뭉열매,0.5,0.0906
팬텀,먹다남은음식,0.0,0.0596
팬텀,달인의띠,0.0,0.0329
팬텀,타입강화,0.0,0.0317
팬텀,울퉁불퉁멧,0.0,0.0673
팬텀,풍선,2.4,0.0932
마폭시,생명의구슬,6.7,0.0376
마폭시,구애스카프,33.3,0.1342
마폭시,기합의띠,46.7,0.0595
마폭시,자뭉열매,6.7,0.1428
마폭시,먹다남은음식,0.0,0.0764
마폭시,달인의띠,0.0,0.0205
마폭시,타입강화,0.0,0.0279
마폭시,울퉁불퉁멧,0.0,0.0685
마폭시,풍선,6.7,0.0832
엠페르트,생명의구슬,0.4,0.0223
엠페르트,구애스카프,0.0,0.2272
엠페르트,기합의띠,3.8,0.0119
엠페르트,자뭉열매,10.5,0.1224
엠페르트,먹다남은음식,17.1,0.104
엠페르트,달인의띠,0.0,0.068
엠페르트,타입강화,0.3,0.0531
엠페르트,울퉁불퉁멧,1.6,0.1038
엠페르트,풍선,19.7,0.0905
번치코,생명의구슬,47.2,0.0031
번치코,구애스카프,4.7,0.1786
번치코,기합의띠,34.1,0.0598
번치코,자뭉열매,7.9,0.1501
번치코,먹다남은음식,1.1,0.0698
번치코,달인의띠,1.3,0.0295
번치코,타입강화,0.0,0.0196
번치코,울퉁불퉁멧,0.0,0.0441
번치코,풍선,1.6,0.0829
대짱이,생명의구슬,1.3,-0.0029
대짱이,구애스카프,1.0,0.2493
대짱이,기합의띠,6.9,0.043
대짱이,자뭉열매,46.1,0.1907
대짱이,먹다남은음식,16.7,0.1545
대짱이,달인의띠,0.7,0.0197
대짱이,타입강화,0.0,0.0153
대짱이,울퉁불퉁멧,0.0,0.0582
대짱이,풍선,0.0,0.0122
라이츄,생명의구슬,0.0,0.0429
라이츄,구애스카프,50.0,0.1153
라이츄,기합의띠,30.0,0.0542
라이츄,자뭉열매,0.0,0.1073
라이츄,먹다남은음식,0.0,0.0682
라이츄,달인의띠,0.0,0.0242
라이츄,타입강화,0.0,0.0646
라이츄,울퉁불퉁멧,0.0,0.0734
라이츄,풍선,10.0,0.1036
블래키,생명의구슬,0.0,0.0677
블래키,구애스카프,0.0,0.1399
블래키,기합의띠,0.0,0.0003
블래키,자뭉열매,3.9,0.1048
블래키,먹다남은음식,89.3,0.0908
블래키,달인의띠,0.0,0.0183
블래키,타입강화,0.2,0.1086
블래키,울퉁불퉁멧,5.3,0.2259
블래키,풍선,0.0,0.0054
다크펫,생명의구슬,0.0,0.0853
다크펫,구애스카프,16.7,0.2368
다크펫,기합의띠,50.0,0.0264
다크펫,자뭉열매,16.7,0.1104
다크펫,먹다남은음식,16.7,0.0704
다크펫,달인의띠,0.0,0.0206
다크펫,타입강화,0.0,0.0659
다크펫,울퉁불퉁멧,0.0,0.0965
다크펫,풍선,0.0,0.013
더시마사리,생명의구슬,0.4,0.0319
더시마사리,구애스카프,0.0,0.0415
더시마사리,기합의띠,0.2,0
더시마사리,자뭉열매,19.5,0.0834
더시마사리,먹다남은음식,69.7,0.0616
더시마사리,달인의띠,0.0,0.0187
더시마사리,타입강화,0.0,0.0465
더시마사리,울퉁불퉁멧,0.0,0.1574
더시마사리,풍선,0.0,0.0254
핫삼,생명의구슬,24.3,-0.0263
핫삼,구애스카프,0.0,0.2001
핫삼,기합의띠,2.2,0.0384
핫삼,자뭉열매,11.6,0.1256
핫삼,먹다남은음식,10.1,0.0791
핫삼,달인의띠,0.8,0.0369
핫삼,타입강화,16.1,0.0044
핫삼,울퉁불퉁멧,29.9,0.0751
핫삼,풍선,0.0,0.0261
오롱털,생명의구슬,2.1,0.0289
오롱털,구애스카프,0.7,0.2412
오롱털,기합의띠,0.7,0.0325
오롱털,자뭉열매,3.0,0.1407
오롱털,먹다남은음식,5.3,0.1029
오롱털,달인의띠,1.8,0.0076
오롱털,타입강화,1.7,0.0441
오롱털,울퉁불퉁멧,0.0,0.0771
오롱털,풍선,0.0,0.0382
픽시,생명의구슬,13.3,0.0621
픽시,구애스카프,0.0,0.2004
픽시,기합의띠,0.0,0.0026
픽시,자뭉열매,18.4,0.1518
픽시,먹다남은음식,53.6,0.1168
픽시,달인의띠,1.5,0.0563
픽시,타입강화,0.0,0.0998
픽시,울퉁불퉁멧,7.6,0.1512
픽시,풍선,0.0,0.0365
카디나르마,생명의구슬,1.7,-0.0235
카디나르마,구애스카프,1.1,0.1869
카디나르마,기합의띠,90.5,0.0083
카디나르마,자뭉열매,1.2,0.1204
카디나르마,먹다남은음식,0.0,0.0549
카디나르마,달인의띠,0.3,0.0227
카디나르마,타입강화,0.8,0.0206
카디나르마,울퉁불퉁멧,0.0,0.0539
카디나르마,풍선,0.9,0.0769
앱솔,생명의구슬,1.5,0.0589
앱솔,구애스카프,28.6,0.1941
앱솔,기합의띠,28.9,0.0929
앱솔,자뭉열매,2.2,0.1202
앱솔,먹다남은음식,0.0,0.0489
앱솔,달인의띠,1.5,0.0475
앱솔,타입강화,2.6,0.0218
앱솔,울퉁불퉁멧,0.0,0.0559
앱솔,풍선,0.0,0.0113
찌리배리,생명의구슬,0.0,0.1005
찌리배리,구애스카프,0.0,0.1704
찌리배리,기합의띠,0.1,0
찌리배리,자뭉열매,24.3,0.1716
찌리배리,먹다남은음식,64.9,0.1304
찌리배리,달인의띠,0.0,0.0414
찌리배리,타입강화,1.2,0.0979
찌리배리,울퉁불퉁멧,1.0,0.1607
찌리배리,풍선,2.5,0.0504
맘모꾸리,생명의구슬,4.3,0.0272
맘모꾸리,구애스카프,2.8,0.1787
맘모꾸리,기합의띠,87.6,0.0439
맘모꾸리,자뭉열매,1.7,0.1485
맘모꾸리,먹다남은음식,0.7,0.111
맘모꾸리,달인의띠,1.1,0.0323
맘모꾸리,타입강화,0.4,0.051
맘모꾸리,울퉁불퉁멧,0.0,0.0526
맘모꾸리,풍선,0.0,0.0089
파라블레이즈,생명의구슬,4.2,0.0302
파라블레이즈,구애스카프,1.7,0.1148
파라블레이즈,기합의띠,83.4,0.0572
파라블레이즈,자뭉열매,2.6,0.1433
파라블레이즈,먹다남은음식,2.6,0.1107
파라블레이즈,달인의띠,0.0,0.0421
파라블레이즈,타입강화,2.3,0.0225
파라블레이즈,울퉁불퉁멧,0.0,0.0697
파라블레이즈,풍선,0.0,0.083
패리퍼,생명의구슬,0.7,0.0626
패리퍼,구애스카프,15.1,0.2147
패리퍼,기합의띠,11.9,0.0505
패리퍼,자뭉열매,4.2,0.1432
패리퍼,먹다남은음식,0.7,0.0951
패리퍼,달인의띠,0.0,0.0306
패리퍼,타입강화,0.5,0.0689
패리퍼,울퉁불퉁멧,0.0,0.0955
패리퍼,풍선,0.0,0
찌르호크,생명의구슬,2.0,0.0593
찌르호크,구애스카프,90.3,0.1017
찌르호크,기합의띠,1.0,0.0012
찌르호크,자뭉열매,1.0,0.1492
찌르호크,먹다남은음식,0.0,0.0787
찌르호크,달인의띠,0.0,0.0577
찌르호크,타입강화,2.0,0.0864
찌르호크,울퉁불퉁멧,1.0,0.1017
찌르호크,풍선,0.0,0
대검귀,생명의구슬,2.1,0.063
대검귀,구애스카프,18.9,0.1172
대검귀,기합의띠,31.3,0.036
대검귀,자뭉열매,2.5,0.113
대검귀,먹다남은음식,0.4,0.0407
대검귀,달인의띠,0.5,0.0519
대검귀,타입강화,38.2,0.0267
대검귀,울퉁불퉁멧,0.0,0.0736
대검귀,풍선,0.0,0.0158
마기라스,생명의구슬,0.0,0.0612
마기라스,구애스카프,0.0,0.2264
마기라스,기합의띠,0.0,0.0717
마기라스,자뭉열매,24.5,0.102
마기라스,먹다남은음식,25.6,0.0751
마기라스,달인의띠,2.9,0.0496
마기라스,타입강화,0.0,0.0104
마기라스,울퉁불퉁멧,0.0,0.0435
마기라스,풍선,2.8,0.0568
이어롭,생명의구슬,0.0,0.0101
이어롭,구애스카프,15.4,0.1287
이어롭,기합의띠,2.6,0.0228
이어롭,자뭉열매,64.1,0.1554
이어롭,먹다남은음식,0.0,0.1033
이어롭,달인의띠,0.0,0.0506
이어롭,타입강화,0.0,0.0328
이어롭,울퉁불퉁멧,0.0,0.0845
이어롭,풍선,0.0,0.0092
플라엣테,생명의구슬,0.0,0.0315
플라엣테,구애스카프,98.3,0.089
플라엣테,기합의띠,0.0,0.0082
플라엣테,자뭉열매,1.7,0.1783
플라엣테,먹다남은음식,0.0,0.0998
플라엣테,달인의띠,0.0,0.0107
플라엣테,타입강화,0.0,0.0685
플라엣테,울퉁불퉁멧,0.0,0.0654
플라엣테,풍선,0.0,0.0366
배바닐라,생명의구슬,0.4,0.0757
배바닐라,구애스카프,2.2,0.1537
배바닐라,기합의띠,4.0,0.044
배바닐라,자뭉열매,2.0,0.1456
배바닐라,먹다남은음식,1.0,0.0766
배바닐라,달인의띠,0.0,0.0186
배바닐라,타입강화,51.7,0.0749
배바닐라,울퉁불퉁멧,0.5,0.1057
배바닐라,풍선,0.0,0.0059
드래펄트,생명의구슬,38.4,0.015
드래펄트,구애스카프,26.9,0.1032
드래펄트,기합의띠,13.0,0.0837
드래펄트,자뭉열매,0.4,0.1713
드래펄트,먹다남은음식,1.1,0.0796
드래펄트,달인의띠,1.3,0.034
드래펄트,타입강화,1.0,0.0063
드래펄트,울퉁불퉁멧,0.0,0.0534
드래펄트,풍선,0.0,0.0107
입치트,생명의구슬,0.0,0.0119
입치트,구애스카프,0.0,0.2033
입치트,기합의띠,0.0,0.0274
입치트,자뭉열매,0.0,0.1074
입치트,먹다남은음식,0.0,0.0859
입치트,달인의띠,0.0,0.0737
입치트,타입강화,0.0,0.0313
입치트,울퉁불퉁멧,0.0,0.0726
입치트,풍선,0.0,0.0949
메가니움,생명의구슬,0.0,0.0977
메가니움,구애스카프,0.0,0.1667
메가니움,기합의띠,100.0,0.0053
메가니움,자뭉열매,0.0,0.151
메가니움,먹다남은음식,0.0,0.1038
메가니움,달인의띠,0.0,0.0654
메가니움,타입강화,0.0,0.0417
메가니움,울퉁불퉁멧,0.0,0.1391
메가니움,풍선,0.0,0
메타몽,생명의구슬,0.7,-0.0121
메타몽,구애스카프,85.3,0.168
메타몽,기합의띠,6.2,0.0671
메타몽,자뭉열매,1.0,0.0349
메타몽,먹다남은음식,0.5,0.0105
메타몽,달인의띠,0.0,0.0321
메타몽,타입강화,0.0,0.0166
메타몽,울퉁불퉁멧,0.3,0.0369
메타몽,풍선,0.0,0.01
이상해꽃,생명의구슬,64.4,0.0698
이상해꽃,구애스카프,0.0,0.1594
이상해꽃,기합의띠,2.5,0.0117
이상해꽃,자뭉열매,7.5,0.1365
이상해꽃,먹다남은음식,12.5,0.0818
이상해꽃,달인의띠,1.3,0.0672
이상해꽃,타입강화,3.1,0.02
이상해꽃,울퉁불퉁멧,0.0,0.133
이상해꽃,풍선,0.0,0.0118
밀로틱,생명의구슬,0.0,0.0964
밀로틱,구애스카프,0.0,0.1173
밀로틱,기합의띠,2.0,0.0025
밀로틱,자뭉열매,20.5,0.1741
밀로틱,먹다남은음식,62.9,0.1326
밀로틱,달인의띠,0.0,0.0537
밀로틱,타입강화,0.6,0.0749
밀로틱,울퉁불퉁멧,9.2,0.2083
밀로틱,풍선,0.0,0.0149
스코빌런,생명의구슬,4.2,0.0388
스코빌런,구애스카프,0.0,0.1772
스코빌런,기합의띠,2.8,0.0201
스코빌런,자뭉열매,4.2,0.1352
스코빌런,먹다남은음식,80.6,0.07
스코빌런,달인의띠,0.0,0.0189
스코빌런,타입강화,0.0,0.0572
스코빌런,울퉁불퉁멧,0.0,0.0717
스코빌런,풍선,0.0,0.0079
아쿠스타,생명의구슬,17.9,0.0783
아쿠스타,구애스카프,14.3,0.0998
아쿠스타,기합의띠,25.0,0.0322
아쿠스타,자뭉열매,1.8,0.0986
아쿠스타,먹다남은음식,12.5,0.0483
아쿠스타,달인의띠,17.9,0.0262
아쿠스타,타입강화,1.8,0.0388
아쿠스타,울퉁불퉁멧,0.0,0.1274
아쿠스타,풍선,0.0,0.0159
몰드류,생명의구슬,31.7,0.0121
몰드류,구애스카프,43.1,0.1012
몰드류,기합의띠,18.9,0.0793
몰드류,자뭉열매,0.4,0.1714
몰드류,먹다남은음식,0.6,0.1074
몰드류,달인의띠,0.4,0.0454
몰드류,타입강화,1.6,0.0473
몰드류,울퉁불퉁멧,0.0,0.0778
몰드류,풍선,3.0,0.0773
조로아크(히스이),생명의구슬,10.0,0.0272
조로아크(히스이),구애스카프,13.1,0.1164
조로아크(히스이),기합의띠,67.6,0.0241
조로아크(히스이),자뭉열매,1.5,0.096
조로아크(히스이),먹다남은음식,0.0,0.0599
조로아크(히스이),달인의띠,1.9,0.0404
조로아크(히스이),타입강화,1.1,0.0225
조로아크(히스이),울퉁불퉁멧,0.0,0.0486
조로아크(히스이),풍선,0.0,0.0136
미끄래곤(히스이),생명의구슬,1.8,-0.0031
미끄래곤(히스이),구애스카프,0.0,0.236
미끄래곤(히스이),기합의띠,0.0,0.0118
미끄래곤(히스이),자뭉열매,11.9,0.1361
미끄래곤(히스이),먹다남은음식,56.0,0.1173
미끄래곤(히스이),달인의띠,4.0,0.0526
미끄래곤(히스이),타입강화,0.0,0.0574
미끄래곤(히스이),울퉁불퉁멧,0.0,0.0662
미끄래곤(히스이),풍선,0.0,0.0956
잠만보,생명의구슬,0.9,0.0294
잠만보,구애스카프,0.0,0.1486
잠만보,기합의띠,0.0,0.0043
잠만보,자뭉열매,11.3,0.2151
잠만보,먹다남은음식,45.8,0.1671
잠만보,달인의띠,1.8,0.0498
잠만보,타입강화,0.0,0.0546
잠만보,울퉁불퉁멧,1.8,0.1265
잠만보,풍선,0.0,0.0102
무장조,생명의구슬,0.8,0.0691
무장조,구애스카프,0.0,0.1676
무장조,기합의띠,0.0,0
무장조,자뭉열매,42.6,0.1625
무장조,먹다남은음식,38.1,0.127
무장조,달인의띠,0.0,0.0479
무장조,타입강화,0.8,0.0078
무장조,울퉁불퉁멧,0.0,0.1188
무장조,풍선,0.0,0
클레스퍼트라,생명의구슬,0.0,0.1156
클레스퍼트라,구애스카프,0.0,0.1259
클레스퍼트라,기합의띠,56.7,0.0218
클레스퍼트라,자뭉열매,20.2,0.1338
클레스퍼트라,먹다남은음식,9.5,0.068
클레스퍼트라,달인의띠,0.0,0.0525
클레스퍼트라,타입강화,1.2,0.0285
클레스퍼트라,울퉁불퉁멧,0.0,0.1347
클레스퍼트라,풍선,0.0,0.011
창파나이트,생명의구슬,1.6,0.0276
창파나이트,구애스카프,1.5,0.2343
창파나이트,기합의띠,10.2,0.0334
창파나이트,자뭉열매,0.3,0.1487
창파나이트,먹다남은음식,0.0,0.0838
창파나이트,달인의띠,0.2,0.0307
창파나이트,타입강화,0.6,0.0453
