ko,item_class,class_usage_share,model_delta
창파나이트,울퉁불퉁멧,0.0,0.042
창파나이트,풍선,0.0,0.0121
우츠보트,생명의구슬,22.2,0.0778
우츠보트,구애스카프,0.0,0.163
우츠보트,기합의띠,33.3,0.0291
우츠보트,자뭉열매,11.1,0.114
우츠보트,먹다남은음식,11.1,0.0642
우츠보트,달인의띠,0.0,0.0483
우츠보트,타입강화,0.0,0.016
우츠보트,울퉁불퉁멧,0.0,0.1312
우츠보트,풍선,0.0,0.0126
가라르야도킹,생명의구슬,2.4,0.0036
가라르야도킹,구애스카프,0.0,0.1265
가라르야도킹,기합의띠,0.0,0.0025
가라르야도킹,자뭉열매,26.7,0.1308
가라르야도킹,먹다남은음식,31.9,0.1025
가라르야도킹,달인의띠,1.6,0.0458
가라르야도킹,타입강화,1.3,0.06
가라르야도킹,울퉁불퉁멧,0.0,0.1162
가라르야도킹,풍선,0.0,0.0918
깜까미,생명의구슬,0.0,0.0536
깜까미,구애스카프,0.0,0.1273
깜까미,기합의띠,7.6,0.0122
깜까미,자뭉열매,5.5,0.0788
깜까미,먹다남은음식,15.2,0.0416
깜까미,달인의띠,0.0,0.0121
깜까미,타입강화,0.0,0.0544
깜까미,울퉁불퉁멧,6.3,0.1058
깜까미,풍선,0.0,0.0096
엘풍,생명의구슬,4.4,0.0473
엘풍,구애스카프,0.0,0.092
엘풍,기합의띠,57.2,0.0717
엘풍,자뭉열매,2.7,0.1153
엘풍,먹다남은음식,26.4,0.0737
엘풍,달인의띠,0.0,0.0149
엘풍,타입강화,1.0,0.0528
엘풍,울퉁불퉁멧,3.5,0.0964
엘풍,풍선,0.0,0
저승갓숭,생명의구슬,2.9,0.0186
저승갓숭,구애스카프,1.0,0.0924
저승갓숭,기합의띠,3.3,0.0009
저승갓숭,자뭉열매,36.6,0.1329
저승갓숭,먹다남은음식,44.5,0.08
저승갓숭,달인의띠,1.2,0.0389
저승갓숭,타입강화,0.0,0.0213
저승갓숭,울퉁불퉁멧,3.5,0.0843
저승갓숭,풍선,0.0,0.0135
스트린더(하이),생명의구슬,5.4,0.0371
스트린더(하이),구애스카프,15.0,0.169
스트린더(하이),기합의띠,16.6,0.0956
스트린더(하이),자뭉열매,4.6,0.0771
스트린더(하이),먹다남은음식,5.3,0.0522
스트린더(하이),달인의띠,1.1,0.0474
스트린더(하이),타입강화,0.8,0.0165
스트린더(하이),울퉁불퉁멧,0.0,0.0832
스트린더(하이),풍선,49.4,0.1109
샤미드,생명의구슬,0.2,0.0943
샤미드,구애스카프,0.4,0.1942
샤미드,기합의띠,0.0,0.0004
샤미드,자뭉열매,8.9,0.1883
샤미드,먹다남은음식,83.5,0.1351
샤미드,달인의띠,0.0,0.0221
샤미드,타입강화,1.0,0.1115
샤미드,울퉁불퉁멧,1.8,0.199
샤미드,풍선,0.0,0.0151
사마자르,생명의구슬,2.3,0.0449
사마자르,구애스카프,28.6,0.1203
사마자르,기합의띠,64.3,0.0595
사마자르,자뭉열매,0.4,0.141
사마자르,먹다남은음식,0.0,0.0757
사마자르,달인의띠,0.6,0.0386
사마자르,타입강화,0.3,0.0388
사마자르,울퉁불퉁멧,0.0,0.0922
사마자르,풍선,0.4,0.0059
인텔리레온,생명의구슬,3.6,0.0735
인텔리레온,구애스카프,3.2,0.104
인텔리레온,기합의띠,38.5,0.0118
인텔리레온,자뭉열매,0.0,0.1264
인텔리레온,먹다남은음식,0.0,0.0774
인텔리레온,달인의띠,0.8,0.0656
인텔리레온,타입강화,3.0,0.0335
인텔리레온,울퉁불퉁멧,0.0,0.1054
인텔리레온,풍선,0.0,0.0164
깨비물거미,생명의구슬,4.6,0.0147
깨비물거미,구애스카프,0.0,0.1557
깨비물거미,기합의띠,10.0,0.0013
깨비물거미,자뭉열매,42.2,0.1445
깨비물거미,먹다남은음식,6.6,0.1343
깨비물거미,달인의띠,1.6,0.0201
깨비물거미,타입강화,21.7,0.0332
깨비물거미,울퉁불퉁멧,3.6,0.1124
깨비물거미,풍선,0.0,0
가디안,생명의구슬,3.6,0.0469
가디안,구애스카프,18.9,0.1781
가디안,기합의띠,65.8,0.0341
가디안,자뭉열매,2.9,0.1566
가디안,먹다남은음식,0.0,0.0935
가디안,달인의띠,1.6,0.0431
가디안,타입강화,2.1,0.0306
가디안,울퉁불퉁멧,0.0,0.0583
가디안,풍선,0.0,0.0395
왕구리,생명의구슬,2.6,0.0927
왕구리,구애스카프,5.8,0.1861
왕구리,기합의띠,3.5,0.0039
왕구리,자뭉열매,14.8,0.1633
왕구리,먹다남은음식,5.9,0.1055
왕구리,달인의띠,0.0,0.0437
왕구리,타입강화,6.6,0.0351
왕구리,울퉁불퉁멧,0.0,0.1111
왕구리,풍선,0.0,0.0147
엘레이드,생명의구슬,29.3,0.0348
엘레이드,구애스카프,19.0,0.1734
엘레이드,기합의띠,26.4,0.0275
엘레이드,자뭉열매,1.0,0.1307
엘레이드,먹다남은음식,0.0,0.0876
엘레이드,달인의띠,3.4,0.0637
엘레이드,타입강화,2.0,0.036
엘레이드,울퉁불퉁멧,0.0,0.0801
엘레이드,풍선,0.0,0.0128
브리무음,생명의구슬,2.9,0.0264
브리무음,구애스카프,0.0,0.1306
브리무음,기합의띠,32.5,0.0273
브리무음,자뭉열매,31.5,0.1559
브리무음,먹다남은음식,14.9,0.0952
브리무음,달인의띠,0.0,0.0559
브리무음,타입강화,1.9,0.0393
브리무음,울퉁불퉁멧,0.0,0.0774
브리무음,풍선,0.0,0.0393
눈여아,생명의구슬,0.0,0.0578
눈여아,구애스카프,16.0,0.1137
눈여아,기합의띠,64.0,0.0632
눈여아,자뭉열매,4.0,0.1216
눈여아,먹다남은음식,0.0,0.0871
눈여아,달인의띠,4.0,0.0547
눈여아,타입강화,0.0,0.0389
눈여아,울퉁불퉁멧,0.0,0.0892
눈여아,풍선,0.0,0.0078
어흥염,생명의구슬,2.0,0.015
어흥염,구애스카프,0.0,0.2368
어흥염,기합의띠,1.3,0.001
어흥염,자뭉열매,53.9,0.1828
어흥염,먹다남은음식,22.9,0.1359
어흥염,달인의띠,0.0,0.0145
어흥염,타입강화,0.0,0.0321
어흥염,울퉁불퉁멧,0.0,0.0627
어흥염,풍선,0.0,0.0593
마릴리,생명의구슬,6.0,0.0137
마릴리,구애스카프,0.0,0.1961
마릴리,기합의띠,0.0,0.0029
마릴리,자뭉열매,68.0,0.1441
마릴리,먹다남은음식,5.4,0.0976
마릴리,달인의띠,0.7,0.0354
마릴리,타입강화,7.1,0.0385
마릴리,울퉁불퉁멧,0.0,0.0921
마릴리,풍선,0.0,0.0399
올리르바,생명의구슬,1.9,0.0388
올리르바,구애스카프,0.0,0.1935
올리르바,기합의띠,26.2,0.0134
올리르바,자뭉열매,22.7,0.1258
올리르바,먹다남은음식,24.0,0.0853
올리르바,달인의띠,0.0,0.0636
올리르바,타입강화,2.0,0.0157
올리르바,울퉁불퉁멧,4.5,0.0909
올리르바,풍선,0.0,0
스트린더(로우),생명의구슬,5.0,0.0399
스트린더(로우),구애스카프,15.5,0.169
스트린더(로우),기합의띠,13.8,0.0956
스트린더(로우),자뭉열매,4.4,0.0771
스트린더(로우),먹다남은음식,5.3,0.0522
스트린더(로우),달인의띠,0.0,0.0247
스트린더(로우),타입강화,1.3,0.0269
스트린더(로우),울퉁불퉁멧,0.0,0.0873
스트린더(로우),풍선,51.6,0.1109
펜드라,생명의구슬,6.7,0.0209
펜드라,구애스카프,0.0,0.0997
펜드라,기합의띠,31.2,0.043
펜드라,자뭉열매,22.4,0.1378
펜드라,먹다남은음식,12.5,0.0897
펜드라,달인의띠,0.0,0.0393
펜드라,타입강화,0.0,0.0102
펜드라,울퉁불퉁멧,0.0,0.0897
펜드라,풍선,0.0,0.0104
화염레오,생명의구슬,11.8,0.0262
화염레오,구애스카프,5.9,0.1155
화염레오,기합의띠,29.4,0.0751
화염레오,자뭉열매,11.8,0.1539
화염레오,먹다남은음식,11.8,0.1204
화염레오,달인의띠,0.0,0.0149
화염레오,타입강화,0.0,0.0353
화염레오,울퉁불퉁멧,0.0,0.0691
화염레오,풍선,17.6,0.07
윈디(히스이),생명의구슬,8.3,0.0156
윈디(히스이),구애스카프,29.3,0.0893
윈디(히스이),기합의띠,49.6,0.1459
윈디(히스이),자뭉열매,2.7,0.1204
윈디(히스이),먹다남은음식,1.8,0.0541
윈디(히스이),달인의띠,0.0,0.0234
윈디(히스이),타입강화,0.4,0.0161
윈디(히스이),울퉁불퉁멧,1.0,0.0338
윈디(히스이),풍선,5.8,0.1023
캥카,생명의구슬,13.4,0.0106
캥카,구애스카프,0.0,0.0971
캥카,기합의띠,4.5,0.0107
캥카,자뭉열매,6.0,0.166
캥카,먹다남은음식,3.0,0.1228
캥카,달인의띠,0.0,0.0352
캥카,타입강화,59.7,0.0473
캥카,울퉁불퉁멧,0.0,0.0705
캥카,풍선,0.0,0.011
꿈트렁,생명의구슬,0.0,0.0755
꿈트렁,구애스카프,0.8,0.192
꿈트렁,기합의띠,1.8,0.0382
꿈트렁,자뭉열매,80.8,0.1548
꿈트렁,먹다남은음식,9.6,0.1014
꿈트렁,달인의띠,0.0,0.045
꿈트렁,타입강화,0.0,0.0427
꿈트렁,울퉁불퉁멧,3.7,0.0943
꿈트렁,풍선,0.0,0
에써르(암컷),생명의구슬,2.3,0.1183
에써르(암컷),구애스카프,7.9,0.1022
에써르(암컷),기합의띠,8.4,0.0167
에써르(암컷),자뭉열매,3.9,0.1292
에써르(암컷),먹다남은음식,0.0,0.0791
에써르(암컷),달인의띠,0.0,0.0427
에써르(암컷),타입강화,0.0,0.0596
에써르(암컷),울퉁불퉁멧,1.4,0.1539
에써르(암컷),풍선,0.0,0.0112
후딘,생명의구슬,19.3,0.0057
후딘,구애스카프,10.5,0.1051
후딘,기합의띠,66.2,0.0771
후딘,자뭉열매,0.4,0.1188
후딘,먹다남은음식,0.0,0.0491
후딘,달인의띠,0.4,0.0541
후딘,타입강화,1.5,0.0229
후딘,울퉁불퉁멧,0.0,0.0714
후딘,풍선,0.0,0.0119
드래캄,생명의구슬,35.4,-0.0099
드래캄,구애스카프,0.0,0.2521
드래캄,기합의띠,4.6,0.0713
드래캄,자뭉열매,16.9,0.1981
드래캄,먹다남은음식,12.3,0.1208
드래캄,달인의띠,7.7,0.04
드래캄,타입강화,0.0,0.0233
드래캄,울퉁불퉁멧,0.0,0.0391
드래캄,풍선,9.2,0.0561
