nash_value,stones,mega_slot,effective_roster_R,mirror_exposure,gap_exposure_pct,zero_answer_opps,members,pick_rates_pct
0.0417,2,플라엣테,4.786,0.48,2.4,0,한카리아스|아머까오|워시로토무|히트로토무|플라엣테|드래펄트,88|17|11|28|72|84
0.0415,1,마폭시,4.955,0.294,1.0,2,브리두라스|아머까오|님피아|히트로토무|마폭시|드래펄트,57|11|53|15|93|70
0.0411,2,한카리아스,5.222,0.571,0.0,0,보만다|한카리아스|타부자고|아머까오|님피아|히트로토무,68|84|56|13|56|23
0.041,2,플라엣테,5.297,0.612,5.3,1,한카리아스|타부자고|마스카나|아머까오|히트로토무|플라엣테,89|54|50|14|29|64
0.0409,1,마폭시,5.024,0.283,3.3,1,브리두라스|님피아|히트로토무|마폭시|드래펄트|어흥염,56|53|15|93|69|14
0.0407,2,마폭시,5.326,0.293,1.6,0,보만다|타부자고|워시로토무|님피아|마폭시|어흥염,71|57|20|56|77|18
0.0407,2,플라엣테,5.213,0.611,4.5,0,한카리아스|타부자고|마스카나|아머까오|플라엣테|어흥염,87|57|51|13|68|25
0.0406,1,마폭시,4.927,0.286,1.2,1,브리두라스|워시로토무|님피아|마폭시|드래펄트|어흥염,57|11|52|94|71|15
0.0404,2,마폭시,5.021,0.361,4.0,0,보만다|브리두라스|아머까오|워시로토무|님피아|마폭시,64|71|13|14|55|83
0.0404,2,플라엣테,5.083,0.237,10.6,0,보만다|타부자고|아머까오|히트로토무|플라엣테|드래펄트,69|51|9|23|66|82
0.0403,1,마폭시,4.906,0.285,2.4,1,브리두라스|워시로토무|님피아|히트로토무|마폭시|드래펄트,56|11|53|14|95|70
0.0402,2,마폭시,5.044,0.347,4.9,0,보만다|브리두라스|워시로토무|님피아|히트로토무|마폭시,63|70|12|57|15|83
0.04,1,마폭시,4.89,0.294,1.0,1,브리두라스|아머까오|님피아|마폭시|드래펄트|어흥염,58|10|52|94|71|15
0.0399,1,마폭시,4.866,0.296,2.7,1,브리두라스|아머까오|워시로토무|님피아|마폭시|드래펄트,58|12|11|52|94|72
0.0399,2,마폭시,5.358,0.291,1.6,0,보만다|타부자고|고릴타|님피아|마폭시|어흥염,69|56|23|57|78|18
0.0389,2,마폭시,5.063,0.525,5.2,0,한카리아스|워시로토무|님피아|히트로토무|마폭시|어흥염,88|23|66|22|79|22
0.0387,1,마폭시,4.98,0.243,0.6,1,타부자고|워시로토무|님피아|마폭시|드래펄트|어흥염,50|16|55|93|73|12
0.0386,1,마폭시,5.048,0.241,1.5,1,타부자고|고릴타|님피아|마폭시|드래펄트|어흥염,47|21|53|95|72|12
0.0384,2,마폭시,5.074,0.546,5.0,0,한카리아스|아머까오|워시로토무|님피아|마폭시|어흥염,90|18|26|62|79|24
0.0383,2,마폭시,4.889,0.649,2.8,0,한카리아스|브리두라스|아머까오|워시로토무|마폭시|어흥염,87|74|19|16|80|23
0.0382,2,마폭시,5.053,0.541,3.6,1,한카리아스|아머까오|님피아|히트로토무|마폭시|어흥염,89|18|63|28|81|21
0.038,2,마폭시,5.122,0.535,2.0,0,한카리아스|아머까오|워시로토무|님피아|히트로토무|마폭시,87|19|22|63|29|79
0.0377,2,마폭시,5.335,0.296,1.5,0,보만다|타부자고|삼삼드래|님피아|마폭시|어흥염,70|56|20|59|76|19
0.0375,2,마폭시,5.161,0.296,3.4,0,보만다|타부자고|님피아|히트로토무|마폭시|어흥염,74|57|60|16|78|16
