ko,move,usage_pct
화염레오,대타출동,12
화염레오,니트로차지,11
화염레오,도깨비불,11
화염레오,악의파동,11
윈디(히스이),플레어드라이브,100
윈디(히스이),양날박치기,97.6
윈디(히스이),신속,72.5
윈디(히스이),와일드볼트,49.5
윈디(히스이),인파이트,35.3
윈디(히스이),스텔스록,17
윈디(히스이),도깨비불,9
윈디(히스이),역린,7.3
윈디(히스이),사이코팽,5.2
윈디(히스이),아침햇살,3.7
캥카,지진,79
캥카,냉동펀치,71
캥카,기습,65.3
캥카,속이기,60.9
캥카,누르기,39
캥카,이판사판태클,31
캥카,불꽃펀치,21.9
캥카,드레인펀치,15.5
캥카,비장의무기,10.1
캥카,번개펀치,6.4
꿈트렁,꼬리자르기,94
꿈트렁,바디프레스,86
꿈트렁,스텔스록,68.6
꿈트렁,헤비봄버,47.5
꿈트렁,철벽,42.2
꿈트렁,메탈버스트,31.8
꿈트렁,암석봉인,11.7
꿈트렁,아이언헤드,7.3
꿈트렁,지진,5.5
꿈트렁,잠자기,5.2
에써르(암컷),매지컬플레임,73.4
에써르(암컷),치유소원,68.3
에써르(암컷),사이코키네시스,54.9
에써르(암컷),트릭룸,54.9
에써르(암컷),대지의파동,44.9
에써르(암컷),매혹의보이스,31.5
에써르(암컷),리플렉터,24.9
에써르(암컷),빛의장막,20.3
에써르(암컷),배턴터치,13.4
에써르(암컷),매지컬샤인,13.3
후딘,사이코키네시스,89.6
후딘,섀도볼,64.2
후딘,매지컬샤인,57
후딘,기합구슬,55.9
후딘,나쁜음모,40.8
후딘,에너지볼,36.1
후딘,앙코르,23.1
후딘,와이드포스,12.4
후딘,대타출동,12.4
후딘,사이코쇼크,8.3
드래캄,용성군,96.5
드래캄,퀵턴,95
드래캄,맹독,56.9
드래캄,오물웨이브,38.9
드래캄,독압정,32.1
드래캄,오물폭탄,28.7
드래캄,10만볼트,24.8
드래캄,열탕,10.7
드래캄,섀도볼,9
드래캄,기합구슬,7.5
