atk\def,보만다,한카리아스,누리레느,갑주무사,하마돈,루카리오,드닐레이브,브리두라스,타부자고,따라큐,고릴타,킬가르도,마스카나,갸라도스,아머까오,킬라플로르,대쓰여너,리자몽,포푸니크,개굴닌자,에이스번,알로라 나인테일,에써르(수컷),워시로토무,불카모스,빠르모트,라우드본,삼삼드래,메타그로스,망나뇽,님피아,히트로토무,거북왕,대도각참,팬텀,마폭시,엠페르트,번치코,대짱이,라이츄,블래키,다크펫,더시마사리,핫삼,오롱털,픽시,카디나르마,앱솔,찌리배리,맘모꾸리,파라블레이즈,패리퍼,찌르호크,대검귀,마기라스,이어롭,플라엣테,배바닐라,드래펄트,입치트,메가니움,메타몽,이상해꽃,밀로틱,스코빌런,아쿠스타,몰드류,조로아크(히스이),미끄래곤(히스이),잠만보,무장조,클레스퍼트라,창파나이트,우츠보트,가라르야도킹,깜까미,엘풍,저승갓숭,스트린더(하이),샤미드,사마자르,인텔리레온,깨비물거미,가디안,왕구리,엘레이드,브리무음,눈여아,어흥염,마릴리,올리르바,스트린더(로우),펜드라,화염레오,윈디(히스이),캥카,꿈트렁,에써르(암컷),후딘,드래캄
눈여아,0.3712,0.3712,-0.0800,-0.0955,0.2611,-0.4311,-0.3288,-0.0955,-0.1272,0.1379,0.1379,-0.4311,-0.3288,0.1379,0.0331,-0.0955,-0.1977,-0.4080,-0.5621,-0.5621,-0.8977,0.0331,-0.0955,-0.3288,-0.8365,0.1379,-0.1005,0.1379,-0.1977,0.3078,-0.6629,-0.6644,-0.0955,-0.8977,-0.0955,-0.1977,-0.1225,-0.6644,-0.0955,-0.3288,-0.3960,-0.1977,0.6384,-0.2563,-0.4311,-0.1912,-0.1977,0.1379,0.0768,-0.3288,-0.1977,0.3875,0.4120,-0.0955,-0.6644,0.7904,-0.4319,-0.3288,-0.3288,-0.0955,0.3724,0.4735,0.6918,0.0651,-0.4311,0.0068,-0.0955,-0.0955,-0.3288,-0.7955,0.2118,0.1379,-0.0955,0.4735,-0.0101,0.0366,0.0068,0.2043,0.2400,0.0613,-0.0955,-0.3288,0.5014,-0.0955,0.2400,-0.0842,0.0212,0,-0.8977,0.1743,0.4735,0.2400,-0.2267,-0.8977,-0.6731,0.2080,-0.1062,0.2400,-0.3288,0.1379
어흥염,-0.6994,-0.7955,-0.5903,0.2331,-0.0514,-0.0955,0.0068,-0.3184,-0.0974,0.6745,0.0068,0.2401,0.9203,-0.6980,1.0000,-0.5859,-0.3288,0.1178,-0.3288,-0.3288,-0.5621,0.5757,0.2505,-0.5621,0.0668,-0.3288,0.1017,-0.2947,0.0068,-0.4698,-0.0224,-0.1968,-0.5859,0.8090,-0.1192,0.3765,-0.1225,-0.5621,-0.5621,-0.2947,0.9942,0.7107,0.2657,0.4330,0.6098,0.5282,-0.3288,0.0068,0.5796,-0.3288,0.0068,-0.5978,-0.1754,0.0068,-0.1192,0.0409,-0.2837,0.9203,0.0068,0.9203,0.2652,0.8090,0.2984,-0.4869,0.7014,0.0409,-0.1192,-0.1192,0.2401,0.5376,0.5856,1.0000,-0.6540,0.5520,0.7092,0.9971,0.5757,-0.5621,0.0409,-0.4986,-0.0169,-0.5621,0.3862,0.0068,-0.5621,-0.2845,0.5284,1.0000,0,-0.2924,0.4366,0.0409,0.5632,0.0409,-0.3362,0.3424,0.0567,1.0000,-0.0955,-0.0614
마릴리,-0.1318,-0.0870,-0.2092,0.4490,0.3709,-0.3288,-0.0870,-0.7955,-0.6645,-0.1808,-0.7955,-0.7955,-0.3288,-0.7955,-0.4370,-0.5621,-0.4161,-0.2742,-0.7955,-0.3288,-0.3288,0.1548,-0.0870,-0.7955,0.1517,-0.3288,0.4787,0.3424,-0.5108,-0.0861,-0.7955,-0.5621,-0.3923,0.2401,-0.5621,0.0068,0.2766,0.0068,-0.4161,-0.5621,1.0000,-0.7955,0.7000,-0.4679,0.0068,-0.0525,-0.0870,0.3424,-0.1668,-0.0870,-0.0870,-0.1870,-0.7159,1.0000,0.0068,-0.0870,-0.6278,0.5842,0.0068,-0.2775,-0.6627,1.0000,-0.7955,0.8184,-0.7955,0.1548,-0.0870,-0.5621,-0.0870,0.4902,-0.5092,-0.1808,0.0068,-0.7955,-0.7172,1.0000,-0.7955,0.5558,-0.7955,0.7514,0.2486,0.4904,0.9731,-0.7955,0.4904,0.0068,0.1682,-0.1808,0.4904,0,0.1893,-0.7955,-0.7955,-0.0870,-0.3163,-0.4887,-0.1632,-0.1808,-0.0870,-0.3288
올리르바,-0.3659,-0.3611,-0.1444,-0.6019,0.2440,-0.4633,-0.5621,-0.1277,-0.3992,-0.3458,-0.5621,-0.5621,-0.4686,-0.3679,-0.7955,-0.2353,0.0068,-0.6148,-0.4633,-0.3288,-0.4633,-0.5621,-0.0270,1.0000,-0.7230,-0.4633,-0.6906,-0.1277,-0.4686,-0.4432,-0.7265,-0.5621,0.2079,-0.2676,-0.3288,-0.4686,-0.2069,-0.4633,0.2401,-0.1277,0.1098,-0.5621,0.9319,-0.7626,-0.1331,-0.2421,-0.4686,-0.3288,0.9298,-0.3288,-0.4686,-0.4740,-0.6839,0.0068,-0.4686,-0.3611,-0.5712,-0.5621,-0.2676,0.2079,0.7902,0.5435,-0.6380,0.1219,-0.5356,0.0068,-0.1331,-0.4686,-0.3679,-0.3170,-0.7540,0.2076,-0.8042,-0.3611,-0.0292,0.5093,0.4008,-0.7014,-0.0955,-0.0651,-0.5621,0.0068,-0.4902,-0.3679,0.2079,-0.5669,0.2588,-0.5621,-0.5990,-0.2533,0,-0.0955,-0.5178,-0.3288,-0.3683,-0.4815,-0.7350,-0.1891,-0.5621,-0.5621
스트린더(로우),-0.8977,-0.8977,0.4735,-0.1977,-0.5167,-0.2267,-0.8977,-0.7955,-0.6109,-0.1724,-0.6644,-0.3288,-0.3288,-0.4311,0.9779,-0.8977,-0.3288,-0.2530,0.3424,-0.3288,-0.5621,0.0068,-0.5621,-0.5621,-0.5023,0.3424,-0.5558,-0.8977,-0.4311,-0.8977,0.5449,-0.5621,-0.3288,0.0043,0.0068,-0.5621,0.1497,-0.8977,-0.4311,0.0314,0.2471,-0.0955,0.9065,0.5915,0.4735,0.9798,-0.3288,-0.0955,-0.0023,-0.8977,-0.7955,0.7068,-0.0547,0.0068,-0.6644,-0.5621,-0.2837,-0.5621,-0.7955,0.4735,-0.3288,0.4735,-0.8312,0.1060,-0.0293,-0.3288,-0.8977,0.0068,-0.7955,-0.8977,0.1379,-0.5621,0.2400,0.9932,-0.4838,0.3846,1.0000,-0.1352,-0.0955,0.5609,-0.2267,0.0068,0.7377,-0.3288,-0.1977,-0.8977,-0.0299,-0.2267,-0.1192,0.8090,-0.1977,0,-0.7870,-0.5621,-0.5708,-0.8977,-0.4135,-0.5621,-0.8977,-0.0955
펜드라,-0.3415,-0.4514,0.4308,0.6645,-0.1014,0.1379,-0.0955,-0.0955,-0.0024,0.8020,0.8090,-0.0955,0.0809,0.1614,-0.7955,0.2486,-0.4514,-0.1219,-0.1524,-0.3288,-0.6644,0.5841,0.1379,-0.0955,0.0740,0.1379,-0.3338,0.1379,-0.0955,-0.1989,0.4597,-0.4311,-0.0955,0.2400,0.4735,-0.1977,0.0365,-0.1977,-0.0711,0.3142,0.8926,0.0395,0.8859,-0.6492,0.5841,0.4379,-0.4311,0.1379,0.4670,-0.3288,0.1379,-0.2489,-0.4477,0.6498,-0.1440,0.1915,0.4164,0.0152,-0.7955,0.2400,0.7987,0.8090,0.8080,0.5243,-0.0523,-0.3288,0.3142,-0.0955,-0.0955,-0.0338,-0.7955,0.1379,-0.0955,0.9521,-0.1398,0.5842,0.9579,-0.1111,0.5476,0.3193,-0.0955,-0.3288,0.6263,0.2120,-0.0955,0.1337,0.0340,0.2400,-0.6465,0.8628,0.4097,0.5476,0,-0.1977,-0.0846,-0.0682,-0.7000,0.1379,-0.3773,0.1379
화염레오,-0.0256,-0.4311,-0.3288,0.0714,0.0522,0.0356,-0.0955,0.1379,0.2103,0.4561,0.3712,0.1379,0.2401,-0.3288,0.4735,0.1379,-0.4311,0.2541,-0.6644,-0.8977,-0.8977,0.9113,0.4735,-0.4311,0.5755,-0.1977,-0.0005,-0.0955,0.3712,-0.3952,0.2849,0.2400,-0.4311,0.3712,-0.3288,0.2400,-0.3922,-0.4311,-0.4311,-0.3288,0.5965,0.4735,-0.2313,0.3712,0.4735,0.9840,-0.0955,0.1379,0.5513,-0.1977,-0.0955,-0.0955,-0.0528,-0.0955,-0.6644,0.1379,0.2677,0.8090,-0.5621,0.7068,0.4735,0.8090,0.3562,-0.5608,0.8090,-0.3288,0.0356,-0.3288,-0.0955,-0.6688,0.3810,0.4735,-0.1977,0.7068,0.2817,0.6635,1.0000,-0.4311,0.4735,-0.5334,0.1379,-0.5621,-0.0955,0.2400,-0.3288,-0.0955,0.1889,0.9113,-0.1192,0.0394,0.1379,0.4735,-0.0955,0,-0.1852,0.1018,0.3712,0.4735,-0.3288,-0.0955
윈디(히스이),-0.4317,-0.6731,-0.2064,0.1379,-0.5240,-0.1939,0.0394,0.1417,0.1405,0.0427,-0.1852,0.1379,0.5795,-0.1852,0.8127,-0.1939,-0.2064,0.6619,-0.4273,-0.6644,-0.4273,1.0000,0.3549,-0.2064,0.7838,-0.3375,0.1607,-0.6606,-0.1852,-0.0259,0.7197,0.7106,-0.2064,0.7106,-0.3288,0.2526,-0.2310,-0.1852,-0.6731,-0.3163,0.9599,0.4859,-0.0918,0.5641,0.4772,0.9939,0.3625,0.1379,0.2357,-0.2064,0.3750,-0.0069,-0.0112,-0.1939,0.0394,-0.3163,0.4995,0.9146,0.0068,0.4897,0.1405,0.3750,0.2245,-0.1047,0.6152,-0.6519,0.0269,-0.3288,0.1417,-0.1489,0.3747,0.3549,-0.2064,0.8162,0.5474,0.8569,0.5795,-0.3375,0.4897,-0.4000,0.3625,-0.6644,0.1372,0.4859,-0.1939,-0.1939,0.4772,0.5915,0.1495,0.1292,0.0984,0.4897,-0.2533,-0.1042,0,-0.1042,0.1374,0.4897,-0.1042,0.1379
캥카,-0.2457,-0.2769,0.4753,-0.1057,0.2626,-0.0955,-0.0436,-0.0436,-0.0848,-0.4545,-0.0955,-0.0955,0.0068,0.4889,0.0169,0.4735,-0.0955,-0.2539,-0.6125,0.0068,-0.6125,0.0587,0.0587,0.4373,0.0666,-0.3288,0.0459,-0.5103,-0.0955,0.5090,0.2110,0.4373,0.2400,0.4735,-0.3288,-0.2769,0.4482,-0.1458,0.2400,-0.2769,0.8465,0.5732,0.8910,0.3100,0.4735,0.7680,-0.0955,0.1379,0.5807,0.2400,0.1379,0.5295,-0.4806,0.4373,0.1379,-0.2769,-0.2837,0.4735,-0.2267,0.2630,0.4759,0.8090,0.7606,0.9191,0.3930,0.3943,0.4373,-0.3649,-0.0436,0.5732,-0.2225,0.3424,-0.1977,0.7726,0.5406,0.3172,0.3424,-0.7955,0.7068,0.7823,-0.3649,0.0587,0.8531,0.4735,0.7726,0.1379,0.4812,-0.1814,-0.3288,0.4063,0.5188,0.7068,-0.0122,-0.2769,-0.0830,0,-0.2645,0.8090,-0.3288,0.1379
꿈트렁,-0.7955,-0.7780,-0.0411,-0.7647,0.8174,-0.6644,0.6831,-0.5621,-0.8218,0.3452,-0.7780,-0.0955,0.3600,-0.7000,-0.7000,0.3600,-0.7904,-0.7226,-0.3288,-0.3288,-0.3410,0.5933,-0.3235,-0.7955,-0.6080,-0.3288,-0.8926,-0.3410,-0.2390,-0.7464,0.3743,-0.8977,-0.7955,0.4796,-0.6468,-0.6766,0.1389,-0.3410,-0.2175,-0.3288,0.8574,0.0241,0.8856,-0.6392,0.8090,0.4270,-0.8977,-0.3112,0.0135,1.0000,-0.3410,-0.5798,-0.7150,0.0085,0.1554,0.0068,0.1551,0.3424,-0.5744,0.4065,-0.1546,0.8144,0.7295,-0.6987,-0.8977,0.1321,0.0181,-0.6591,0.1256,0.2479,-0.6995,0.1066,-0.6644,0.7545,-0.0292,0.9418,0.6948,-0.7955,0.2279,-0.6717,-0.3288,-0.5569,0.2068,-0.3288,-0.4623,-0.5616,0.1379,0.0222,-0.1302,0.1621,0.8695,0.2279,0.9904,-0.6644,-0.3282,0.2982,0,-0.5446,-0.6468,0.1256
