atk\def,보만다,한카리아스,누리레느,갑주무사,하마돈,루카리오,드닐레이브,브리두라스,타부자고,따라큐,고릴타,킬가르도,마스카나,갸라도스,아머까오,킬라플로르,대쓰여너,리자몽,포푸니크,개굴닌자,에이스번,알로라 나인테일,에써르(수컷),워시로토무,불카모스,빠르모트,라우드본,삼삼드래,메타그로스,망나뇽,님피아,히트로토무,거북왕,대도각참,팬텀,마폭시,엠페르트,번치코,대짱이,라이츄,블래키,다크펫,더시마사리,핫삼,오롱털,픽시,카디나르마,앱솔,찌리배리,맘모꾸리,파라블레이즈,패리퍼,찌르호크,대검귀,마기라스,이어롭,플라엣테,배바닐라,드래펄트,입치트,메가니움,메타몽,이상해꽃,밀로틱,스코빌런,아쿠스타,몰드류,조로아크(히스이),미끄래곤(히스이),잠만보,무장조,클레스퍼트라,창파나이트,우츠보트,가라르야도킹,깜까미,엘풍,저승갓숭,스트린더(하이),샤미드,사마자르,인텔리레온,깨비물거미,가디안,왕구리,엘레이드,브리무음,눈여아,어흥염,마릴리,올리르바,스트린더(로우),펜드라,화염레오,윈디(히스이),캥카,꿈트렁,에써르(암컷),후딘,드래캄
창파나이트,-0.8977,-0.3288,,0.4070,,-0.4311,-0.0955,,,,,,,0.2401,,-0.3288,,-0.6148,,-0.0955,,,,,,,,,-0.3288,-0.7955,,,-0.3288,,-0.3288,-0.6644,,-0.3288,-0.3288,-0.0955,,-0.3288,,-0.4629,,-0.8063,,-0.3288,,,,,-0.5809,,0.2401,-0.0955,-0.8977,,,0.1379,-0.4919,,-0.1451,,-0.3288,-0.3288,-0.0955,,,,-0.4212,,0,0.0068,,0.9488,,,,,,,,-0.8977,,-0.3288,,-0.3288,,,,,0.1379,-0.0955,,-0.0955,,,,-0.0955
우츠보트,-0.8977,-0.7955,,-0.7683,,-0.7955,-0.7955,,,,,,,-0.2267,,-0.7955,,-0.8746,,-0.3288,,,,,,,,,-0.7955,-0.7955,,,-0.5621,,-0.5621,-0.8977,,-0.8977,-0.0955,0.0314,,-0.5621,,-0.7955,,-0.0042,,-0.2267,,,,,-0.8142,,-0.5621,-0.7955,-0.2837,,,-0.7000,0.6472,,-0.6169,,-0.6644,-0.3288,-0.7955,,,,-0.8236,,,0,,0.0024,,,,,,,,-0.3288,,-0.7955,,-0.8977,,,,,-0.7955,-0.8977,,-0.7955,,,,-0.7955
가라르야도킹,-0.2024,-0.4958,,-0.0738,,-0.4838,-0.7955,,,,,,,-0.7955,,-0.2610,,-0.6218,,-0.4958,,,,,,,,,-0.4958,-0.1376,,,-0.6159,,-0.3288,-0.6942,,-0.3288,-0.8298,-0.4958,,-0.8298,,0.2500,,0.8889,,-0.7172,,,,,0.0403,,-0.7955,-0.3288,0.4253,,,-0.0493,0.3421,,0.1069,,0.1346,0.0133,-0.5965,,,,-0.2450,,,0.0731,0,-0.4792,,,,,,,,0.0731,,-0.7176,,-0.3393,,,,,-0.1874,-0.3833,,-0.7000,,,,-0.2610
깜까미,-0.7664,-0.7955,,-0.6596,,-0.8534,-0.7955,,,,,,,-0.7540,,-0.7955,,-0.8403,,-0.7955,,,,,,,,,-0.5188,-0.7744,,,-0.8534,,-0.1832,-0.5187,,-0.7955,-0.7955,-0.6634,,-0.3288,,-0.7230,,-0.8016,,-0.6634,,,,,-0.7616,,-0.7955,-0.7540,-0.8977,,,-0.7955,-0.8129,,-0.6530,,-0.7580,0.0501,-0.7955,,,,-0.7654,,,-0.5655,,0,,,,,,,,-0.8977,,-0.7532,,-0.3288,,,,,-0.7250,-0.7955,,-0.5861,,,,-0.6200
엘풍,-0.8279,-0.3288,,-0.7955,,-0.4311,-0.1977,,,,,,,-0.0955,,-0.6644,,-0.8977,,-0.6644,,,,,,,,,-0.8977,-0.2121,,,0.1379,,-0.8977,-0.8977,,-0.4311,-0.1977,-0.2267,,-0.4311,,-0.7955,,-0.7461,,0.0068,,,,,-0.1142,,-0.0955,-0.3288,-0.6653,,,-0.7955,-0.4252,,-0.8977,,-0.8977,-0.3288,-0.6644,,,,-0.8236,,,-0.8977,,0.9971,0,,,,,,,-0.3288,,-0.1864,,-0.8977,,,,,-0.8977,-0.8977,,-0.3649,,,,-0.8977
저승갓숭,-0.5928,-0.2624,,0.4828,,-0.3040,0.1379,,,,,,,0.4735,,-0.2267,,-0.3057,,0.2401,,,,,,,,,-0.7707,-0.3813,,,-0.0955,,-0.5373,-0.5373,,-0.5373,0.2043,-0.0289,,-0.1064,,0.1760,,-0.0379,,-0.7955,,,,,-0.7593,,0.7982,0.3315,-0.8525,,,-0.0955,-0.0557,,-0.0369,,0.3138,-0.5621,-0.0289,,,,-0.7231,,,0.8711,,0.0418,,0,,,,,,-0.3645,,-0.5621,,-0.5373,,,,,0.2564,-0.0289,,0.6423,,,,-0.0955
스트린더(하이),-0.8977,-0.8977,,-0.6644,,-0.5621,-0.8977,,,,,,,-0.6644,,-0.8977,,-0.3815,,-0.6644,,,,,,,,,-0.8977,-0.8977,,,-0.3288,,-0.5621,-0.8977,,-0.8977,-0.6644,-0.2267,,-0.3288,,0.0466,,0.7492,,-0.5621,,,,,0.0883,,-0.6644,-0.5621,-0.4319,,,-0.0955,-0.5942,,-0.8312,,-0.0955,-0.3288,-0.8977,,,,-0.5903,,,0.9065,,0.1498,,,0,,,,,-0.6644,,-0.8977,,-0.5621,,,,,-0.4311,-0.8977,,-0.8977,,,,-0.3288
샤미드,-0.2661,-0.4747,,-0.2171,,-0.7667,-0.7118,,,,,,,-0.7955,,-0.1979,,-0.2240,,-0.6998,,,,,,,,,-0.6838,0.0435,,,-0.7000,,-0.1717,-0.0759,,-0.0346,-0.7100,-0.7667,,-0.4747,,-0.4653,,-0.0030,,-0.0552,,,,,-0.3585,,-0.2393,-0.7667,-0.7065,,,0.1504,-0.7271,,-0.7041,,-0.7667,-0.6964,-0.0346,,,,-0.6167,,,-0.1717,,0.4472,,,,0,,,,-0.7100,,-0.6569,,-0.2036,,,,,-0.1028,0.6366,,-0.7103,,,,-0.0080
사마자르,-0.7256,-0.5621,,-0.5621,,-0.6644,-0.3288,,,,,,,0.1379,,-0.8977,,-0.1482,,-0.6644,,,,,,,,,-0.7955,-0.5644,,,-0.6644,,-0.3288,-0.3288,,-0.5621,-0.6644,-0.3288,,0.1379,,-0.2728,,0.2292,,-0.3288,,,,,-0.7158,,-0.1977,-0.3288,-0.7955,,,-0.0955,-0.4919,,0.0225,,0.1379,-0.3288,-0.3288,,,,-0.7312,,,0.2400,,0.3967,,,,,0,,,-0.5621,,-0.5508,,-0.3288,,,,,0.1915,-0.3288,,0.3424,,,,-0.3288
인텔리레온,-0.0256,-0.5621,,-0.3288,,-0.4311,-0.5621,,,,,,,-0.8977,,0.1379,,-0.1746,,-0.7955,,,,,,,,,-0.0955,0.0212,,,-0.2313,,-0.3288,-0.3288,,0.1379,-0.3288,-0.8977,,0.1379,,-0.0381,,-0.0062,,-0.3288,,,,,-0.0528,,0.1379,-0.5621,-0.4319,,,-0.0955,-0.5942,,-0.2473,,-0.3649,0.0066,0.1379,,,,-0.2646,,,-0.0955,,0.2672,,,,,,0,,-0.0955,,-0.0955,,-0.3288,,,,,-0.0955,-0.3288,,-0.3288,,,,-0.4311
